"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 18 04:39:16 UTC 2023","Fri Aug 18 04:39:18 UTC 2023","2137","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Fri Aug 18 03:48:02 UTC 2023","Fri Aug 18 03:48:05 UTC 2023","2839","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Aug 18 03:48:55 UTC 2023","Fri Aug 18 03:49:10 UTC 2023","15411","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Aug 18 02:55:40 UTC 2023","Fri Aug 18 02:55:50 UTC 2023","10238","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Aug 18 02:58:23 UTC 2023","Fri Aug 18 02:58:27 UTC 2023","3951","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Aug 18 04:33:31 UTC 2023","Fri Aug 18 04:33:34 UTC 2023","2566","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"skipped","Fri Aug 18 05:01:46 UTC 2023","Fri Aug 18 05:01:46 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Aug 18 04:33:34 UTC 2023","Fri Aug 18 04:33:34 UTC 2023","402","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"skipped","Fri Aug 18 04:22:06 UTC 2023","Fri Aug 18 04:22:06 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Fri Aug 18 06:34:14 UTC 2023","Fri Aug 18 06:34:14 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Fri Aug 18 05:01:46 UTC 2023","Fri Aug 18 05:01:46 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
